Adj Close,Volume,macd,macd_h,macd_s
0.311569721,717091200,0.013825422,0.008039818,0.005785603
0.303021103,489708800,0.014622847,0.007069795,0.007553052
0.297321111,482820800,0.014626268,0.005658572,0.008967695
0.329618603,855528800,0.017038705,0.006456808,0.010581897
0.330568492,692423200,0.018810392,0.006582796,0.012227596
0.328668654,730704800,0.019832549,0.006083962,0.013748587
0.321069151,369695200,0.019801144,0.004842046,0.014959098
0.313470393,427341600,0.018944716,0.003188494,0.015756222
0.306820512,286115200,0.017527356,0.001416908,0.016110448
0.321069151,462711200,0.017353791,0.000994674,0.016359117
0.315369934,393887200,0.016565404,0.00016503,0.016400374
0.315369934,604128000,0.015758943,-0.000513145,0.016272088
0.290672213,590083200,0.012977322,-0.002635813,0.015613135
0.299221754,274120000,0.011332115,-0.003424816,0.014756931
0.290672213,237070400,0.009231979,-0.004419961,0.013651941
